experiment,experiment_title,model,arm,subset,value,se,n_groups,n_rows
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-utr3-step-4999,3′ UTR,ncRNA,0.1027765820980873,0.008004131572239127,115,1150
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-utr3-step-4999,3′ UTR,5′ UTR,0.09930592197475785,0.008273698384824271,210,2100
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-utr3-step-4999,3′ UTR,Promoter,0.09571929998138905,0.005483516521331417,205,2050
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-utr3-step-4999,3′ UTR,Distal,0.11552048974883725,0.023287084707042483,58,580
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-ncrna-step-4999,ncRNA exon,Missense,0.10920776817213433,0.005326198742450238,580,5800
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-ncrna-step-4999,ncRNA exon,Synonymous,0.12621375273754107,0.02554851407640707,46,460
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-ncrna-step-4999,ncRNA exon,Splicing,0.10168960457050213,0.004916044816122638,319,3190
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-ncrna-step-4999,ncRNA exon,3′ UTR,0.1270878230225529,0.0188813173754651,77,770
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-ncrna-step-4999,ncRNA exon,ncRNA,0.5516023145830482,0.04059972624927833,115,1150
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-ncrna-step-4999,ncRNA exon,5′ UTR,0.2683082523858469,0.029322684984104442,210,2100
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-ncrna-step-4999,ncRNA exon,Promoter,0.09892184177405206,0.009296192409102942,205,2050
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-ncrna-step-4999,ncRNA exon,Distal,0.10304857266734506,0.014783600863800777,58,580
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-tss_region-step-4999,TSS / 5′ UTR,Missense,0.10790240075704366,0.005540671895110187,580,5800
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-tss_region-step-4999,TSS / 5′ UTR,Synonymous,0.12578071050531067,0.02719859447355848,46,460
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-tss_region-step-4999,TSS / 5′ UTR,Splicing,0.11357693614332418,0.00993718108518037,319,3190
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-tss_region-step-4999,TSS / 5′ UTR,3′ UTR,0.11268120004558284,0.015977336974664524,77,770
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-tss_region-step-4999,TSS / 5′ UTR,ncRNA,0.18491874000864456,0.024587826423889438,115,1150
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-tss_region-step-4999,TSS / 5′ UTR,5′ UTR,0.1891211556284378,0.020173686892400965,210,2100
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-tss_region-step-4999,TSS / 5′ UTR,Promoter,0.23470575685613895,0.02447538157394839,205,2050
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-tss_region-step-4999,TSS / 5′ UTR,Distal,0.09641003551371612,0.016808474325527775,58,580
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-enhancer-step-4999,Enhancer,Missense,0.10072952734158853,0.003976543784599775,580,5800
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-enhancer-step-4999,Enhancer,Synonymous,0.17611601034429092,0.040871960015854455,46,460
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-enhancer-step-4999,Enhancer,Splicing,0.09308406261033662,0.004514028755882987,319,3190
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-enhancer-step-4999,Enhancer,3′ UTR,0.10569201605738063,0.009193235196547953,77,770
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-enhancer-step-4999,Enhancer,ncRNA,0.11942078141466271,0.011578774556338756,115,1150
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-enhancer-step-4999,Enhancer,5′ UTR,0.11368356002233168,0.009294734466888683,210,2100
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-enhancer-step-4999,Enhancer,Promoter,0.09123286628341101,0.004546021854407794,205,2050
annotation_first,"Earlier #517 annotation-first / phyloP, center-1 projection",exp517-enhancer-step-4999,Enhancer,Distal,0.3226898250028363,0.055261174678213155,58,580
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-cds-step-4999,CDS,Missense,0.3389220647299777,0.017341192580630094,580,5800
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-cds-step-4999,CDS,Synonymous,0.29904825076110786,0.06086204860965411,46,460
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-cds-step-4999,CDS,Splicing,0.4003697103489335,0.027567778762089573,319,3190
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-cds-step-4999,CDS,3′ UTR,0.12152403672319247,0.019344406335700656,77,770
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-cds-step-4999,CDS,ncRNA,0.10166658420923891,0.006988043698161386,115,1150
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-cds-step-4999,CDS,5′ UTR,0.111530408553803,0.008448813609787206,210,2100
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-cds-step-4999,CDS,Promoter,0.09453671040389039,0.005244151826237719,205,2050
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-cds-step-4999,CDS,Distal,0.11586678120000762,0.0231508929717456,58,580
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-utr3-step-4999,3′ UTR,Missense,0.10535437816779862,0.00539150716283925,580,5800
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-utr3-step-4999,3′ UTR,Synonymous,0.1456187658541978,0.03262862331197418,46,460
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-utr3-step-4999,3′ UTR,Splicing,0.09254438026738249,0.004238136525447415,319,3190
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-utr3-step-4999,3′ UTR,3′ UTR,0.18517057438088494,0.03540853907785126,77,770
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-utr3-step-4999,3′ UTR,ncRNA,0.1062579962210563,0.008038584979198689,115,1150
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-utr3-step-4999,3′ UTR,5′ UTR,0.12090436134828862,0.010186374191850032,210,2100
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-utr3-step-4999,3′ UTR,Promoter,0.09203800554469391,0.00438429280843792,205,2050
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-utr3-step-4999,3′ UTR,Distal,0.11630996908639193,0.02597839727033629,58,580
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-ncrna-exon-step-4999,ncRNA exon,Missense,0.1438147290833408,0.009390958471394893,580,5800
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-ncrna-exon-step-4999,ncRNA exon,Synonymous,0.19696472991166325,0.044274263135978945,46,460
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-ncrna-exon-step-4999,ncRNA exon,Splicing,0.163653758478137,0.016191387857233095,319,3190
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-ncrna-exon-step-4999,ncRNA exon,3′ UTR,0.11131998731038653,0.012763395083271829,77,770
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-ncrna-exon-step-4999,ncRNA exon,ncRNA,0.38378013175067066,0.03497200974897518,115,1150
gpn_uniform,"#517 uniform grid / GPN-Star-P, center-1 projection",exp517-gpn-uniform-ncrna-exon-step-4999,ncRNA exon,5′ UTR,0.10707940525113994,0.007010283376530366,210,2100
