name	assembly	sequence	format	sha256	chrom_sizes	chrom_sizes_sha256	origin
falChe1	F_cherrug_v1.0/falChe1	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/falChe1.2bit	twobit	d82f3ce74429ff271b578298dcd47a1f916bd21b8334c009f3f5e05c018f1f23	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/falChe1.chrom.sizes	541680114203faa9297e4d83471ce4bd2fb1bf964317f1a1324184b28ba0432e	UCSC-hg38-over-chain
galGal4	Gallus_gallus-4.0/galGal4	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/galGal4.2bit	twobit	4dc9ec100fff65d54e7c966bd7bbdbd8fcc211a3422fe3a0468f1355fd41cb4c	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/galGal4.chrom.sizes	bb73df0a37189a8c0eb9bdb21953ef45a68baefb4113ef1be7baae65655b460e	UCSC-hg38-over-chain
ficAlb2	FicAlb1.5/ficAlb2	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/ficAlb2.2bit	twobit	c488d2c00174ebaa49bffbc80e80880c48d2e97b39553a0b39888427a7a73884	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/ficAlb2.chrom.sizes	8b2bf7281f00464ae2faa554ec8b8aae12ced17ddeb6411fa917c23967bfa516	UCSC-hg38-over-chain
araMac1	SMACv1.1/araMac1	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/araMac1.2bit	twobit	25f9d31c515e0df33a736e07f3b6e2b5632d19ae22b0cdc3385af33d33561aef	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/araMac1.chrom.sizes	6605a78bb7f7ed32409e66daee6cf1cc372390bb20120b0df9066ded0df63314	UCSC-hg38-over-chain
allMis1	allMis0.2/allMis1	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/allMis1.2bit	twobit	a7e3af4155caf8b04bb42686881afcc558d5317a44cc765b4ce3cb659f363d42	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/allMis1.chrom.sizes	b112265a3d63cfdb55859f6ededf49df8ed7bc5d771b8a996e47a1d5975ad417	UCSC-hg38-over-chain
anoCar2	AnoCar2.0/anoCar2	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/anoCar2.2bit	twobit	1a9ed0b644dfcd1b50f7d2a13b8568264c6b9056a80c58b413fc310b6c43b08f	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/anoCar2.chrom.sizes	049aacdf3676918f3bc07053e8db1ddc100551dadf1e6b075216b4f8554c1b2e	UCSC-hg38-over-chain
cheMyd1	CheMyd_1.0/cheMyd1	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/cheMyd1.2bit	twobit	5d48f589d78bede00c742f3c39934e89a11b2c4649b03ecbb4275c0d32dcb4fd	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/cheMyd1.chrom.sizes	c9c7ad9ea0a91d1830eee9ddf415286826ba00238b6ff7172738352ab7ab0b38	UCSC-hg38-over-chain
xenTro7	JGI_7.0/xenTro7	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/xenTro7.2bit	twobit	d0668b96264c1d45a3b16d1cd5d1ee8270a89ef95077183c996f47c331fc84ec	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/xenTro7.chrom.sizes	db7c9615428c7923b993efd798de511e8bded76d7d23708ba90cf6522ff3e784	UCSC-hg38-over-chain
latCha1	Broad/latCha1	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/latCha1.2bit	twobit	8fe78b07b02995841a9fdbede91807ff1ef215bfdf2ebb98d39753f942545b05	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/latCha1.chrom.sizes	882434077086ea50251c09f118c8899609d13466c06881a7a52269c89a2c4453	UCSC-hg38-over-chain
oryLat2	MEDAKA1/oryLat2	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/oryLat2.2bit	twobit	d7331c0f8c3dd4e87d92eceb68cdaf0a2d66d62f1e745ac9f976a3de41d680bb	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/oryLat2.chrom.sizes	850a0385addc0be1826e64c44214ee38bbe7a16859d94b0e74d34daa77635bd9	UCSC-hg38-over-chain
astMex1	Astyanax_mexicanus-1.0.2/astMex1	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/astMex1.2bit	twobit	92c4e9f08aed868fbf4913d8540248a7517ddc677d409a4531677727daaf9429	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/astMex1.chrom.sizes	e355f7b9410946d7562b0bc5c0463194442d321144c4373f0977c55287b71726	UCSC-hg38-over-chain
oreNil2	oreNil1.1/oreNil2	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/oreNil2.2bit	twobit	c9c5de2557a77229a898f01491610d9c520237013c64e76197725e8b1d6fe4e9	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/liftover/genomes/oreNil2.chrom.sizes	9871049a96e270e21a774e1e2da3db4ae5908c7520e5004f8e1f2f2f3a8b1207	UCSC-hg38-over-chain
