panel_order,benchmark,subset,arm,step,value,se,baseline,n_groups,n_rows,n_positive,n_accessions
1,Mendelian,Splicing,Center 1 bp,1500,0.27448813921820936,0.02200784884889624,0.1,319.0,3190.0,,
1,Mendelian,Splicing,Center 1 bp,2000,0.3327902842335986,0.02525266420348944,0.1,319.0,3190.0,,
1,Mendelian,Splicing,Center 1 bp,2500,0.36394170725049224,0.02536291165755541,0.1,319.0,3190.0,,
1,Mendelian,Splicing,Center 1 bp,3000,0.3303997543798075,0.022259552970564693,0.1,319.0,3190.0,,
1,Mendelian,Splicing,Center 1 bp,3500,0.3498150358419485,0.0229576724410032,0.1,319.0,3190.0,,
1,Mendelian,Splicing,Center 1 bp,4000,0.3433224192057883,0.024018686571162396,0.1,319.0,3190.0,,
1,Mendelian,Splicing,Center 1 bp,4500,0.3666318698662638,0.025749034971096575,0.1,319.0,3190.0,,
1,Mendelian,Splicing,Center 1 bp,4999,0.38784472069637965,0.02704814843610346,0.1,319.0,3190.0,,
1,Mendelian,Splicing,Full window,1000,0.19501727798849433,0.016982271880464857,0.1,319.0,3190.0,,
1,Mendelian,Splicing,Full window,1500,0.2096043622030752,0.01703723951966447,0.1,319.0,3190.0,,
1,Mendelian,Splicing,Full window,2000,0.35062027678248114,0.024073261385928843,0.1,319.0,3190.0,,
1,Mendelian,Splicing,Full window,2500,0.3711023722640278,0.025278444426643867,0.1,319.0,3190.0,,
1,Mendelian,Splicing,Full window,3000,0.35333165886529666,0.023996621094463287,0.1,319.0,3190.0,,
1,Mendelian,Splicing,Full window,3500,0.3571373153746124,0.025363734666547667,0.1,319.0,3190.0,,
1,Mendelian,Splicing,Full window,4000,0.3346677468652634,0.023572463849796273,0.1,319.0,3190.0,,
1,Mendelian,Splicing,Full window,4500,0.3917213894629733,0.0261899530022125,0.1,319.0,3190.0,,
1,Mendelian,Splicing,Full window,4999,0.3915743682268895,0.02636477411003917,0.1,319.0,3190.0,,
2,Mendelian,Synonymous,Center 1 bp,1000,0.12433183358944322,0.027096097422557648,0.1,46.0,460.0,,
2,Mendelian,Synonymous,Center 1 bp,1500,0.19943805312362994,0.04148066546986474,0.1,46.0,460.0,,
2,Mendelian,Synonymous,Center 1 bp,2000,0.18020658268980144,0.036401595147443976,0.1,46.0,460.0,,
2,Mendelian,Synonymous,Center 1 bp,2500,0.24659156377251779,0.05069894680642526,0.1,46.0,460.0,,
2,Mendelian,Synonymous,Center 1 bp,3000,0.2397290347724095,0.051281879412360225,0.1,46.0,460.0,,
2,Mendelian,Synonymous,Center 1 bp,3500,0.2869785009876818,0.05543176532856009,0.1,46.0,460.0,,
2,Mendelian,Synonymous,Center 1 bp,4000,0.22269555337423574,0.048380571735770976,0.1,46.0,460.0,,
2,Mendelian,Synonymous,Center 1 bp,4500,0.28560048906017593,0.053115305093991635,0.1,46.0,460.0,,
2,Mendelian,Synonymous,Center 1 bp,4999,0.2955733656694683,0.05561169178176981,0.1,46.0,460.0,,
2,Mendelian,Synonymous,Full window,1000,0.1792669171937375,0.043012001277407085,0.1,46.0,460.0,,
2,Mendelian,Synonymous,Full window,1500,0.18164980928589436,0.040510855994314754,0.1,46.0,460.0,,
2,Mendelian,Synonymous,Full window,2000,0.24228330074244214,0.04762730476293954,0.1,46.0,460.0,,
2,Mendelian,Synonymous,Full window,2500,0.21984698166950628,0.0439591177218156,0.1,46.0,460.0,,
2,Mendelian,Synonymous,Full window,3000,0.283819704430208,0.051230571302272564,0.1,46.0,460.0,,
2,Mendelian,Synonymous,Full window,3500,0.3046841196779412,0.05644577395851066,0.1,46.0,460.0,,
2,Mendelian,Synonymous,Full window,4000,0.3006899021581778,0.06036473154857357,0.1,46.0,460.0,,
2,Mendelian,Synonymous,Full window,4500,0.33343556071954555,0.056692778043964685,0.1,46.0,460.0,,
2,Mendelian,Synonymous,Full window,4999,0.346456897350961,0.059607037201215164,0.1,46.0,460.0,,
3,Complex traits,Missense,Center 1 bp,1000,0.09924732129613889,0.006819293955650955,0.1,250.0,2500.0,,
3,Complex traits,Missense,Center 1 bp,1500,0.100587191386175,0.007893663995964424,0.1,250.0,2500.0,,
3,Complex traits,Missense,Center 1 bp,2000,0.09860310334519568,0.006977765066061342,0.1,250.0,2500.0,,
3,Complex traits,Missense,Center 1 bp,2500,0.10292869089118652,0.006646901295368604,0.1,250.0,2500.0,,
3,Complex traits,Missense,Center 1 bp,3000,0.12143153815254748,0.010131254147654811,0.1,250.0,2500.0,,
3,Complex traits,Missense,Center 1 bp,3500,0.13247380935043665,0.012940569844227466,0.1,250.0,2500.0,,
3,Complex traits,Missense,Center 1 bp,4000,0.14917166066516668,0.013218173610732648,0.1,250.0,2500.0,,
3,Complex traits,Missense,Center 1 bp,4500,0.1691154001569452,0.015620352487545128,0.1,250.0,2500.0,,
3,Complex traits,Missense,Center 1 bp,4999,0.17212581156763507,0.015512984280371232,0.1,250.0,2500.0,,
3,Complex traits,Missense,Full window,1000,0.10274463138576997,0.009352450007468135,0.1,250.0,2500.0,,
3,Complex traits,Missense,Full window,1500,0.09920589274866318,0.006887543296204654,0.1,250.0,2500.0,,
3,Complex traits,Missense,Full window,2000,0.09936890412236021,0.007035581847306072,0.1,250.0,2500.0,,
3,Complex traits,Missense,Full window,2500,0.10761065083656293,0.009082695904292667,0.1,250.0,2500.0,,
3,Complex traits,Missense,Full window,3000,0.1196315297816846,0.010635434123518786,0.1,250.0,2500.0,,
3,Complex traits,Missense,Full window,3500,0.1642772521838785,0.01751392154843908,0.1,250.0,2500.0,,
3,Complex traits,Missense,Full window,4000,0.15918926785749396,0.0163722583853056,0.1,250.0,2500.0,,
3,Complex traits,Missense,Full window,4500,0.17312423757627712,0.016555372670770924,0.1,250.0,2500.0,,
3,Complex traits,Missense,Full window,4999,0.17368067660242312,0.015276851058032488,0.1,250.0,2500.0,,
4,SGE,Missense,Center 1 bp,1000,0.16511504326532225,0.005104515748054045,0.15859011180614718,,19059.0,3007.0,8.0
4,SGE,Missense,Center 1 bp,1500,0.17723285288461235,0.005736868656657244,0.15859011180614718,,19059.0,3007.0,8.0
4,SGE,Missense,Center 1 bp,2000,0.1891295813283169,0.006281462140617516,0.15859011180614718,,19059.0,3007.0,8.0
4,SGE,Missense,Center 1 bp,2500,0.20060983687336215,0.006650295937882662,0.15859011180614718,,19059.0,3007.0,8.0
4,SGE,Missense,Center 1 bp,3000,0.23806061509178014,0.008007642536995076,0.15859011180614718,,19059.0,3007.0,8.0
4,SGE,Missense,Center 1 bp,3500,0.2457102730665155,0.008224557930482112,0.15859011180614718,,19059.0,3007.0,8.0
4,SGE,Missense,Center 1 bp,4000,0.27024102328829486,0.008787871771979658,0.15859011180614718,,19059.0,3007.0,8.0
4,SGE,Missense,Center 1 bp,4500,0.2772394795655993,0.008713210115514599,0.15859011180614718,,19059.0,3007.0,8.0
4,SGE,Missense,Center 1 bp,4999,0.2757277820661066,0.00862265054413187,0.15859011180614718,,19059.0,3007.0,8.0
4,SGE,Missense,Full window,1000,0.16444078296698883,0.005038442835897936,0.15859011180614718,,19059.0,3007.0,8.0
4,SGE,Missense,Full window,1500,0.1746897011970258,0.005575020225461152,0.15859011180614718,,19059.0,3007.0,8.0
4,SGE,Missense,Full window,2000,0.18890210064699736,0.00616983743786288,0.15859011180614718,,19059.0,3007.0,8.0
4,SGE,Missense,Full window,2500,0.21482198116896467,0.007264719873322124,0.15859011180614718,,19059.0,3007.0,8.0
4,SGE,Missense,Full window,3000,0.244375580360873,0.008139387466135033,0.15859011180614718,,19059.0,3007.0,8.0
4,SGE,Missense,Full window,3500,0.24318418719036572,0.007955584931920183,0.15859011180614718,,19059.0,3007.0,8.0
4,SGE,Missense,Full window,4000,0.246802464903068,0.007972072876125433,0.15859011180614718,,19059.0,3007.0,8.0
4,SGE,Missense,Full window,4500,0.26552994234659283,0.007980441811600505,0.15859011180614718,,19059.0,3007.0,8.0
4,SGE,Missense,Full window,4999,0.2645125333607506,0.007916910457875312,0.15859011180614718,,19059.0,3007.0,8.0
5,SGE,Splicing,Center 1 bp,1000,0.19452460420095044,0.014811215451154406,0.12762017118894933,,4442.0,494.0,6.0
5,SGE,Splicing,Center 1 bp,1500,0.36892186596473925,0.02360518855903006,0.12762017118894933,,4442.0,494.0,6.0
5,SGE,Splicing,Center 1 bp,2000,0.42752757968883676,0.02381113004794728,0.12762017118894933,,4442.0,494.0,6.0
5,SGE,Splicing,Center 1 bp,2500,0.38099905872757356,0.02225297588302683,0.12762017118894933,,4442.0,494.0,6.0
5,SGE,Splicing,Center 1 bp,3000,0.43662884773630256,0.024088573783150324,0.12762017118894933,,4442.0,494.0,6.0
5,SGE,Splicing,Center 1 bp,3500,0.39921917642070054,0.02361176772230035,0.12762017118894933,,4442.0,494.0,6.0
5,SGE,Splicing,Center 1 bp,4000,0.40664572118400616,0.02339316593173671,0.12762017118894933,,4442.0,494.0,6.0
5,SGE,Splicing,Center 1 bp,4500,0.4062304857357048,0.02313572991409479,0.12762017118894933,,4442.0,494.0,6.0
5,SGE,Splicing,Center 1 bp,4999,0.4308247912472372,0.023433686719471197,0.12762017118894933,,4442.0,494.0,6.0
5,SGE,Splicing,Full window,1000,0.2671806981032579,0.020223070242540744,0.12762017118894933,,4442.0,494.0,6.0
5,SGE,Splicing,Full window,1500,0.2638810473862873,0.019492354049763027,0.12762017118894933,,4442.0,494.0,6.0
5,SGE,Splicing,Full window,2000,0.4330033494724099,0.02275762389759503,0.12762017118894933,,4442.0,494.0,6.0
5,SGE,Splicing,Full window,2500,0.420273024372766,0.022984039565041314,0.12762017118894933,,4442.0,494.0,6.0
5,SGE,Splicing,Full window,3000,0.4558220274454834,0.023299241815776448,0.12762017118894933,,4442.0,494.0,6.0
5,SGE,Splicing,Full window,3500,0.4074030565493063,0.02335421363408605,0.12762017118894933,,4442.0,494.0,6.0
5,SGE,Splicing,Full window,4000,0.385844417377174,0.022849648283648712,0.12762017118894933,,4442.0,494.0,6.0
5,SGE,Splicing,Full window,4500,0.46172545123074515,0.02319012159096422,0.12762017118894933,,4442.0,494.0,6.0
5,SGE,Splicing,Full window,4999,0.47294463189499325,0.02280894107038227,0.12762017118894933,,4442.0,494.0,6.0
