point_id,arm,plot_series,kind,step,objective,dataset,endpoint,orientation,auprc,se,n_rows
transferred-step0600,transferred_mntp,Transferred MNTP,lightning,600,mntp,mendelian_traits,_macro_avg_,protocol_fwd,0.111642519379323,0.0057109098342251145,16100
transferred-step0600,transferred_mntp,Transferred MNTP,lightning,600,mntp,mendelian_traits,_macro_avg_,protocol_fwd_rc,0.11231902206160932,0.006072752992561921,16100
transferred-step0600,transferred_mntp,Transferred MNTP,lightning,600,mntp,complex_traits,_global_,protocol_fwd,0.10174762812391476,0.0031597242754915307,11630
transferred-step0600,transferred_mntp,Transferred MNTP,lightning,600,mntp,complex_traits,_global_,protocol_fwd_rc,0.10086596413865513,0.0028363253561011145,11630
transferred-step0600,transferred_mntp,Transferred MNTP,lightning,600,mntp,sge,accession_consequence_macro,protocol_fwd,0.1483423112158966,0.0049324034274814185,8
transferred-step0600,transferred_mntp,Transferred MNTP,lightning,600,mntp,sge,accession_consequence_macro,protocol_fwd_rc,0.1460550004326358,0.004780659889118805,8
transferred-step0700,transferred_mntp,Transferred MNTP,lightning,700,mntp,mendelian_traits,_macro_avg_,protocol_fwd,0.11446151812365987,0.00646103969469388,16100
transferred-step0700,transferred_mntp,Transferred MNTP,lightning,700,mntp,mendelian_traits,_macro_avg_,protocol_fwd_rc,0.11400494000796206,0.006497858784180142,16100
transferred-step0700,transferred_mntp,Transferred MNTP,lightning,700,mntp,complex_traits,_global_,protocol_fwd,0.1002789243036186,0.002883166393984227,11630
transferred-step0700,transferred_mntp,Transferred MNTP,lightning,700,mntp,complex_traits,_global_,protocol_fwd_rc,0.10074642022425913,0.002952585979604422,11630
transferred-step0700,transferred_mntp,Transferred MNTP,lightning,700,mntp,sge,accession_consequence_macro,protocol_fwd,0.14141733447677704,0.004527496008836808,8
transferred-step0700,transferred_mntp,Transferred MNTP,lightning,700,mntp,sge,accession_consequence_macro,protocol_fwd_rc,0.14341257100409951,0.004878364046169678,8
transferred-step0800,transferred_mntp,Transferred MNTP,lightning,800,mntp,mendelian_traits,_macro_avg_,protocol_fwd,0.10954167678302403,0.005364264448020498,16100
transferred-step0800,transferred_mntp,Transferred MNTP,lightning,800,mntp,mendelian_traits,_macro_avg_,protocol_fwd_rc,0.11112970163813733,0.005677857957053727,16100
transferred-step0800,transferred_mntp,Transferred MNTP,lightning,800,mntp,complex_traits,_global_,protocol_fwd,0.10144227472484593,0.0030200915414625947,11630
transferred-step0800,transferred_mntp,Transferred MNTP,lightning,800,mntp,complex_traits,_global_,protocol_fwd_rc,0.10123844851383355,0.003044060722783855,11630
transferred-step0800,transferred_mntp,Transferred MNTP,lightning,800,mntp,sge,accession_consequence_macro,protocol_fwd,0.1385084045925356,0.004536182390568062,8
transferred-step0800,transferred_mntp,Transferred MNTP,lightning,800,mntp,sge,accession_consequence_macro,protocol_fwd_rc,0.13871138339708255,0.004361819419098708,8
transferred-step1000,transferred_mntp,Transferred MNTP,hf,1000,mntp,mendelian_traits,_macro_avg_,protocol_fwd,0.11513350125562463,0.006761061886891509,16100
transferred-step1000,transferred_mntp,Transferred MNTP,hf,1000,mntp,mendelian_traits,_macro_avg_,protocol_fwd_rc,0.11507941519568278,0.0068990187493974875,16100
transferred-step1000,transferred_mntp,Transferred MNTP,hf,1000,mntp,complex_traits,_global_,protocol_fwd,0.10025886274312892,0.003142438485243088,11630
transferred-step1000,transferred_mntp,Transferred MNTP,hf,1000,mntp,complex_traits,_global_,protocol_fwd_rc,0.09960257479140702,0.0029440886871883653,11630
transferred-step1000,transferred_mntp,Transferred MNTP,hf,1000,mntp,sge,accession_consequence_macro,protocol_fwd,0.1426953799656366,0.004671533662781739,8
transferred-step1000,transferred_mntp,Transferred MNTP,hf,1000,mntp,sge,accession_consequence_macro,protocol_fwd_rc,0.1429311308626103,0.004672565100984993,8
scratch-step0000,scratch_mntp,Scratch MNTP,scratch_initial,0,mntp,mendelian_traits,_macro_avg_,protocol_fwd,0.10831795695837787,0.004447885993800812,16100
scratch-step0000,scratch_mntp,Scratch MNTP,scratch_initial,0,mntp,mendelian_traits,_macro_avg_,protocol_fwd_rc,0.11228611370245248,0.004795442487264082,16100
scratch-step0000,scratch_mntp,Scratch MNTP,scratch_initial,0,mntp,complex_traits,_global_,protocol_fwd,0.09688183663215033,0.00257287021616028,11630
scratch-step0000,scratch_mntp,Scratch MNTP,scratch_initial,0,mntp,complex_traits,_global_,protocol_fwd_rc,0.0961410504935664,0.0029085996748090316,11630
scratch-step0000,scratch_mntp,Scratch MNTP,scratch_initial,0,mntp,sge,accession_consequence_macro,protocol_fwd,0.14834260038740027,0.004584792995312283,8
scratch-step0000,scratch_mntp,Scratch MNTP,scratch_initial,0,mntp,sge,accession_consequence_macro,protocol_fwd_rc,0.14617043555946682,0.00457151299576293,8
scratch-step0400,scratch_mntp,Scratch MNTP,lightning,400,mntp,mendelian_traits,_macro_avg_,protocol_fwd,0.10970575443200803,0.005205149822886152,16100
scratch-step0400,scratch_mntp,Scratch MNTP,lightning,400,mntp,mendelian_traits,_macro_avg_,protocol_fwd_rc,0.11140031995109967,0.0060936937638861105,16100
scratch-step0400,scratch_mntp,Scratch MNTP,lightning,400,mntp,complex_traits,_global_,protocol_fwd,0.10223671920685112,0.0032454379859159386,11630
scratch-step0400,scratch_mntp,Scratch MNTP,lightning,400,mntp,complex_traits,_global_,protocol_fwd_rc,0.10143182302920994,0.003025093052666996,11630
scratch-step0400,scratch_mntp,Scratch MNTP,lightning,400,mntp,sge,accession_consequence_macro,protocol_fwd,0.13760948891288477,0.004262175105949653,8
scratch-step0400,scratch_mntp,Scratch MNTP,lightning,400,mntp,sge,accession_consequence_macro,protocol_fwd_rc,0.13554760120986442,0.0039963054897500325,8
scratch-step0800,scratch_mntp,Scratch MNTP,lightning,800,mntp,mendelian_traits,_macro_avg_,protocol_fwd,0.11067196526546166,0.004897107163213137,16100
scratch-step0800,scratch_mntp,Scratch MNTP,lightning,800,mntp,mendelian_traits,_macro_avg_,protocol_fwd_rc,0.11129446244153487,0.005322452481533949,16100
