comparison,dataset,score,n_rows,max_abs_error,mean_abs_error,tolerance,passed
transferred-step1000_vs_original_evaluation,complex_traits,rc,11630,0.0234375,0.0016752261435613036,0.002,False
transferred-step1000_vs_original_evaluation,sge,fwd,23853,0.017578125,0.0015056509291753173,0.002,False
transferred-step1000_vs_original_evaluation,sge,rc,23853,0.01562511920928955,0.0015309343580156565,0.002,False
scratch-step1000_vs_original_evaluation,mendelian_traits,fwd,16140,0.015625,0.0005749650299549103,0.002,False
scratch-step1000_vs_original_evaluation,mendelian_traits,rc,16140,0.01171875,0.0005522706196643412,0.002,False
scratch-step1000_vs_original_evaluation,complex_traits,fwd,11630,0.01171875,0.0005309960106387734,0.002,False
scratch-step1000_vs_original_evaluation,complex_traits,rc,11630,0.00927734375,0.0005346633843146265,0.002,False
scratch-step1000_vs_original_evaluation,sge,fwd,23853,0.01171863079071045,0.0005161258159205317,0.002,False
scratch-step1000_vs_original_evaluation,sge,rc,23853,0.009765625,0.0005112213548272848,0.002,False
clm-original-step1000_vs_original_evaluation,mendelian_traits,fwd,16140,0.77301025390625,0.05995757877826691,0.002,False
clm-original-step1000_vs_original_evaluation,mendelian_traits,rc,16140,0.82232666015625,0.06031891331076622,0.002,False
clm-original-step1000_vs_original_evaluation,complex_traits,fwd,11630,0.80078125,0.04497344419360161,0.002,False
clm-original-step1000_vs_original_evaluation,complex_traits,rc,11630,0.78790283203125,0.04463467746973038,0.002,False
clm-original-step1000_vs_original_evaluation,sge,fwd,23853,0.835540771484375,0.07654953747987747,0.002,False
clm-original-step1000_vs_original_evaluation,sge,rc,23853,0.819305419921875,0.07212835550308228,0.002,False
tRNA_full_recompute_vs_original,tRNA_Arg_TCT,dependency,65025,0.10345149040222168,0.003009471343830228,0.002,False
tRNA_causal_forbidden_triangle,tRNA_Arg_TCT,dependency,65025,0.042174577713012695,0.0016574191395193338,1e-06,False
clm-original-step0400_causal_vs_wandb,validation_plan,loss,640,9.532868862149879e-05,9.532868862149879e-05,0.002,True
clm-original-step0800_causal_vs_wandb,validation_plan,loss,640,3.723800182342529e-05,3.723800182342529e-05,0.002,True
clm-original-step1000_causal_vs_wandb,validation_plan,loss,640,6.696581840515137e-05,6.696581840515137e-05,0.002,True
transferred-step0100_diffusion_vs_wandb,validation_plan,loss,640,3.597140312228131e-06,3.597140312228131e-06,0.002,True
transferred-step0100_single_vs_wandb,validation_plan,loss,640,1.173466444021054e-05,1.173466444021054e-05,0.002,True
transferred-step0200_diffusion_vs_wandb,validation_plan,loss,640,9.116828441618763e-05,9.116828441618763e-05,0.002,True
transferred-step0200_single_vs_wandb,validation_plan,loss,640,0.0002498209476470836,0.0002498209476470836,0.002,True
transferred-step0300_diffusion_vs_wandb,validation_plan,loss,640,3.560185432432972e-05,3.560185432432972e-05,0.002,True
transferred-step0300_single_vs_wandb,validation_plan,loss,640,1.838356256478324e-05,1.838356256478324e-05,0.002,True
transferred-step0400_diffusion_vs_wandb,validation_plan,loss,640,3.236234188080944e-05,3.236234188080944e-05,0.002,True
transferred-step0400_single_vs_wandb,validation_plan,loss,640,2.2411346435602386e-05,2.2411346435602386e-05,0.002,True
transferred-step0500_diffusion_vs_wandb,validation_plan,loss,640,1.572966575624779e-05,1.572966575624779e-05,0.002,True
transferred-step0500_single_vs_wandb,validation_plan,loss,640,9.760558605192982e-05,9.760558605192982e-05,0.002,True
transferred-step0600_diffusion_vs_wandb,validation_plan,loss,640,2.278089523322091e-05,2.278089523322091e-05,0.002,True
transferred-step0600_single_vs_wandb,validation_plan,loss,640,0.00018901526927950218,0.00018901526927950218,0.002,True
transferred-step0700_diffusion_vs_wandb,validation_plan,loss,640,5.19156455996983e-06,5.19156455996983e-06,0.002,True
transferred-step0700_single_vs_wandb,validation_plan,loss,640,4.2775273323081286e-05,4.2775273323081286e-05,0.002,True
transferred-step0800_diffusion_vs_wandb,validation_plan,loss,640,8.222460746776239e-06,8.222460746776239e-06,0.002,True
transferred-step0800_single_vs_wandb,validation_plan,loss,640,0.00025641024112699196,0.00025641024112699196,0.002,True
transferred-step1000_diffusion_vs_wandb,validation_plan,loss,640,1.2186169624284204e-05,1.2186169624284204e-05,0.002,True
transferred-step1000_single_vs_wandb,validation_plan,loss,640,0.00031916797161096744,0.00031916797161096744,0.002,True
scratch-step0400_diffusion_vs_wandb,validation_plan,loss,640,4.717707633938861e-06,4.717707633938861e-06,0.002,True
scratch-step0400_single_vs_wandb,validation_plan,loss,640,9.437799453743123e-05,9.437799453743123e-05,0.002,True
scratch-step0800_diffusion_vs_wandb,validation_plan,loss,640,4.282593727034101e-06,4.282593727034101e-06,0.002,True
scratch-step0800_single_vs_wandb,validation_plan,loss,640,9.948313236229911e-05,9.948313236229911e-05,0.002,True
scratch-step1000_diffusion_vs_wandb,validation_plan,loss,640,1.993179321296834e-05,1.993179321296834e-05,0.002,True
scratch-step1000_single_vs_wandb,validation_plan,loss,640,6.809532642360061e-05,6.809532642360061e-05,0.002,True
