alignment_name	scientific_name	assembly	taxonomy_id	family	clade	phylogenetic_rank	backend	selection_priority	assembly_level	contig_n50	selected	selection_reason
Moschus_moschiferus	Moschus moschiferus	GCA_004024705.1	68415	Moschidae	mammals	1	zoonomia_cactus	10	Scaffold	34785	true	selected_best_pinned_assembly_in_family
Mus_musculus	Mus musculus	GCF_000001635.26	10090	Muridae	mammals	1	zoonomia_cactus	10	Chromosome	59462871	true	selected_best_pinned_assembly_in_family
Enhydra_lutris	Enhydra lutris	GCF_002288905.1	34882	Mustelidae	mammals	1	zoonomia_cactus	10	Scaffold	244548	true	selected_best_pinned_assembly_in_family
Myocastor_coypus	Myocastor coypus	GCA_004027025.1	10157	Myocastoridae	mammals	1	zoonomia_cactus	10	Scaffold	28446	true	selected_best_pinned_assembly_in_family
Myrmecophaga_tridactyla	Myrmecophaga tridactyla	GCA_004026745.1	71006	Myrmecophagidae	mammals	1	zoonomia_cactus	10	Scaffold	36434	true	selected_best_pinned_assembly_in_family
Cricetomys_gambianus	Cricetomys gambianus	GCA_004027575.1	10085	Nesomyidae	mammals	1	zoonomia_cactus	10	Scaffold	80761	true	selected_best_pinned_assembly_in_family
Noctilio_leporinus	Noctilio leporinus	GCA_004026585.1	94963	Noctilionidae	mammals	1	zoonomia_cactus	10	Scaffold	135651	true	selected_best_pinned_assembly_in_family
Ochotona_princeps	Ochotona princeps	GCF_000292845.1	9978	Ochotonidae	mammals	1	zoonomia_cactus	10	Scaffold	42347	true	selected_best_pinned_assembly_in_family
Octodon_degus	Octodon degus	GCF_000260255.1	10160	Octodontidae	mammals	1	zoonomia_cactus	10	Scaffold	19847	true	selected_best_pinned_assembly_in_family
Odobenus_rosmarus	Odobenus rosmarus	GCF_000321225.1	9707	Odobenidae	mammals	1	zoonomia_cactus	10	Scaffold	89951	true	selected_best_pinned_assembly_in_family
Orycteropus_afer	Orycteropus afer	GCA_004365145.1	9818	Orycteropodidae	mammals	1	zoonomia_cactus	10	Scaffold	20354	true	selected_best_pinned_assembly_in_family
Zalophus_californianus	Zalophus californianus	GCA_004024565.1	9704	Otariidae	mammals	1	zoonomia_cactus	10	Scaffold	90567	true	selected_best_pinned_assembly_in_family
Petromus_typicus	Petromus typicus	GCA_004026965.1	10183	Petromuridae	mammals	1	zoonomia_cactus	10	Scaffold	29916	true	selected_best_pinned_assembly_in_family
Mirounga_angustirostris	Mirounga angustirostris	GCA_004023865.1	9716	Phocidae	mammals	1	zoonomia_cactus	10	Scaffold	52833	true	selected_best_pinned_assembly_in_family
Phocoena_phocoena	Phocoena phocoena	GCA_004363495.1	9742	Phocoenidae	mammals	1	zoonomia_cactus	10	Scaffold	89111	true	selected_best_pinned_assembly_in_family
Anoura_caudifer	Anoura caudifer	GCA_004027475.1	27642	Phyllostomidae	mammals	1	zoonomia_cactus	10	Scaffold	143417	true	selected_best_pinned_assembly_in_family
Kogia_breviceps	Kogia breviceps	GCA_004363705.1	27615	Physeteridae	mammals	1	zoonomia_cactus	10	Scaffold	26201	true	selected_best_pinned_assembly_in_family
Pithecia_pithecia	Pithecia pithecia	GCA_004026645.1	43777	Pitheciidae	mammals	1	zoonomia_cactus	10	Scaffold	63292	true	selected_best_pinned_assembly_in_family
Platanista_gangetica	Platanista gangetica	GCA_054084255.1	118798	Platanistidae	mammals	1	zoonomia_cactus	10	Scaffold	91134	true	selected_best_pinned_assembly_in_family
Heterohyrax_brucei	Heterohyrax brucei	GCA_004026845.1	77598	Procaviidae	mammals	1	zoonomia_cactus	10	Scaffold	62841	true	selected_best_pinned_assembly_in_family
Macroglossus_sobrinus	Macroglossus sobrinus	GCA_004027375.1	326083	Pteropodidae	mammals	1	zoonomia_cactus	10	Scaffold	338389	true	selected_best_pinned_assembly_in_family
Ceratotherium_simum	Ceratotherium simum	GCF_000283155.1	9807	Rhinocerotidae	mammals	1	zoonomia_cactus	10	Scaffold	92960	true	selected_best_pinned_assembly_in_family
Rhinolophus_sinicus	Rhinolophus sinicus	GCA_001888835.1	89399	Rhinolophidae	mammals	1	zoonomia_cactus	10	Scaffold	37803	true	selected_best_pinned_assembly_in_family
Xerus_inauris	Geosciurus inauris	GCA_004024805.1	3371099	Sciuridae	mammals	1	zoonomia_cactus	10	Scaffold	64054	true	selected_best_pinned_assembly_in_family
Solenodon_paradoxus	Solenodon paradoxus	GCA_004363575.1	79805	Solenodontidae	mammals	1	zoonomia_cactus	10	Scaffold	236847	true	selected_best_pinned_assembly_in_family
Crocidura_indochinensis	Crocidura indochinensis	GCA_004027635.1	876679	Soricidae	mammals	1	zoonomia_cactus	10	Scaffold	4927	true	selected_best_pinned_assembly_in_family
