step,component,n_rows,selected_tokens,loss_weight_sum,weight_fraction,legacy_count_normalized_ce,sequence_balanced_ce,marin_token_weighted_ce,marin_z_loss,marin_loss
400,pooled,640,163200,49844.009765625,0.30541672650505514,0.2320742109710095,0.9033877491950989,0.759860842026176,3.263170880441942e-05,0.7598934737349804
400,cds,128,32640,12180.659851074219,0.37318198073144054,0.2449161548240512,0.7827067077159882,0.6562914810195632,4.85319239463081e-05,0.6563400129435095
400,upstream,128,32640,5957.519836425781,0.18252205381206438,0.1629778693704044,1.071113795042038,0.8929215180660643,2.2764143173585073e-05,0.8929442822092379
400,downstream,128,32640,5232.839782714844,0.16031984628415574,0.12048617578020283,1.0219493135809898,0.7515362481489003,2.5408794193586205e-05,0.7515616569430938
400,enhancer,128,32640,13326.089965820312,0.4082748151292988,0.37503872291714535,0.9897744432091713,0.9185938221498485,1.8930706476938812e-05,0.9186127528563255
400,ncrna,128,32640,13146.899536132812,0.40278491225897095,0.25695213804058,0.6513944752514362,0.63793883589009,3.913425006446734e-05,0.6379779701401546
500,pooled,640,163200,49844.009765625,0.30541672650505514,0.23272937550264247,0.9043453752994537,0.7620059915048248,3.2665390372829304e-05,0.7620386568951977
500,cds,128,32640,12180.659851074219,0.37318198073144054,0.24474832497391047,0.7818852141499519,0.6558417544550281,4.814940904455502e-05,0.6558899038640728
500,upstream,128,32640,5957.519836425781,0.18252205381206438,0.16292383343565697,1.0705754309892654,0.8926254665280783,2.2736353350862303e-05,0.8926482028814292
500,downstream,128,32640,5232.839782714844,0.16031984628415574,0.12080646168951895,1.0220654755830765,0.753534041414922,2.5326356006959675e-05,0.7535593677709289
500,enhancer,128,32640,13326.089965820312,0.4082748151292988,0.3755162631764131,0.9911254346370697,0.9197634761220548,1.9030462569727086e-05,0.9197825065846246
500,ncrna,128,32640,13146.899536132812,0.40278491225897095,0.25965196011113184,0.6560753360390663,0.6446417236805244,3.9560642224028014e-05,0.6446812843227485
600,pooled,640,163200,49844.009765625,0.30541672650505514,0.23230073517444086,0.9036666035652161,0.7606025309507596,3.2880923531511835e-05,0.7606354118742911
600,cds,128,32640,12180.659851074219,0.37318198073144054,0.2452359162124933,0.783551774919033,0.6571483321135398,4.844090241826839e-05,0.6571967730159581
600,upstream,128,32640,5957.519836425781,0.18252205381206438,0.16311953301523247,1.0707118511199951,0.8936976634242243,2.2992601429167932e-05,0.8937206560256534
600,downstream,128,32640,5232.839782714844,0.16031984628415574,0.12077955077676213,1.0220922082662582,0.7533661837642284,2.528049840079129e-05,0.7533914642626292
600,enhancer,128,32640,13326.089965820312,0.4082748151292988,0.3751487657135608,0.9898942336440086,0.918863353338983,1.9222715156726034e-05,0.9188825760541397
600,ncrna,128,32640,13146.899536132812,0.40278491225897095,0.2572199148290298,0.6520829796791077,0.6386036492440659,3.981498200844001e-05,0.6386434642260743
700,pooled,640,163200,49844.009765625,0.30541672650505514,0.23226162031585096,0.9027619242668152,0.7604744604975217,3.356278440846471e-05,0.7605080232819301
700,cds,128,32640,12180.659851074219,0.37318198073144054,0.24440762575934916,0.7805173844099045,0.6549287971522839,4.979215319012101e-05,0.654978589305474
700,upstream,128,32640,5957.519836425781,0.18252205381206438,0.1627074213588939,1.0688815116882324,0.8914397902098297,2.3759147546901618e-05,0.8914635493573765
700,downstream,128,32640,5232.839782714844,0.16031984628415574,0.1201906120075899,1.0189219042658806,0.7496926599752374,2.6113783898043742e-05,0.7497187737591354
700,enhancer,128,32640,13326.089965820312,0.4082748151292988,0.3758106643078374,0.9909718334674835,0.9204845618234371,1.9209661283643555e-05,0.9205037714847207
700,ncrna,128,32640,13146.899536132812,0.40278491225897095,0.258191785625383,0.6545170359313488,0.6410165271021331,4.048239268628221e-05,0.6410570094948194
800,pooled,640,163200,49844.009765625,0.30541672650505514,0.2329941947787416,0.9045229256153107,0.762873066727356,3.2452359774051974e-05,0.7629055190871301
800,cds,128,32640,12180.659851074219,0.37318198073144054,0.2456301015966079,0.7844140529632568,0.6582046140469332,4.7330431059843835e-05,0.6582519444779931
800,upstream,128,32640,5957.519836425781,0.18252205381206438,0.16302125968185124,1.0703710615634918,0.8931592444697543,2.30098069604459e-05,0.8931822542767147
800,downstream,128,32640,5232.839782714844,0.16031984628415574,0.1204521894454956,1.0199052542448044,0.7513242573349433,2.5550524721398162e-05,0.7513498078596648
800,enhancer,128,32640,13326.089965820312,0.4082748151292988,0.37613735572964535,0.9916141852736473,0.9212847371213049,1.8842856779961607e-05,0.9213035799780848
800,ncrna,128,32640,13146.899536132812,0.40278491225897095,0.2597300772573434,0.6563101448118687,0.6448356662633621,3.948878185362859e-05,0.6448751550452156
900,pooled,640,163200,49844.009765625,0.30541672650505514,0.2332292968151616,0.9051133632659912,0.7636428413206153,3.2741964640127986e-05,0.7636755832852555
900,cds,128,32640,12180.659851074219,0.37318198073144054,0.2455314748427447,0.7839721739292145,0.6579403280981051,4.8547865214781725e-05,0.6579888759633199
900,upstream,128,32640,5957.519836425781,0.18252205381206438,0.16282001757154277,1.0696856901049614,0.8920566812117511,2.30782144275798e-05,0.8920797594261786
900,downstream,128,32640,5232.839782714844,0.16031984628415574,0.12040442625681559,1.02047897875309,0.7510263329682036,2.5563260364674396e-05,0.7510518962285684
900,enhancer,128,32640,13326.089965820312,0.4082748151292988,0.3768105562995462,0.9926472529768944,0.9229336278805539,1.8819939033190863e-05,0.9229524478195871
900,ncrna,128,32640,13146.899536132812,0.40278491225897095,0.26058000302782247,0.6587828621268272,0.646945789419943,3.944597369912775e-05,0.6469852353936422
1000,pooled,640,163200,49844.009765625,0.30541672650505514,0.23300363428452436,0.90488361120224,0.7629039736979427,3.2855911385475724e-05,0.7629368296093282
1000,cds,128,32640,12180.659851074219,0.37318198073144054,0.24557888367596795,0.7842200845479965,0.6580673675471437,4.8414907539659235e-05,0.6581157824546833
1000,upstream,128,32640,5957.519836425781,0.18252205381206438,0.16296356238570867,1.0703108459711075,0.8928431331016344,2.3104083457625672e-05,0.8928662371850921
1000,downstream,128,32640,5232.839782714844,0.16031984628415574,0.12052939078387093,1.0215010344982147,0.7518058030709497,2.5651283899202153e-05,0.7518314543548489
1000,enhancer,128,32640,13326.089965820312,0.4082748151292988,0.37599594265806907,0.9912409484386444,0.9209383697571276,1.9033880680809832e-05,0.9209574036378084
1000,ncrna,128,32640,13146.899536132812,0.40278491225897095,0.2599503891140807,0.6571451872587204,0.6453826377363046,3.973754910294908e-05,0.6454223752854076
