region,group,chromosome_code,n_positions
upstream,low_to_high,23,16814
upstream,low_to_high,24,1456
upstream,low_to_high,25,0
upstream,high_to_low,1,11516
upstream,high_to_low,2,7855
upstream,high_to_low,3,6205
upstream,high_to_low,4,4023
upstream,high_to_low,5,4619
upstream,high_to_low,6,5207
upstream,high_to_low,7,4712
upstream,high_to_low,8,3648
upstream,high_to_low,9,4528
upstream,high_to_low,10,4241
upstream,high_to_low,11,7026
upstream,high_to_low,12,6117
upstream,high_to_low,13,1561
upstream,high_to_low,14,3453
upstream,high_to_low,15,3511
upstream,high_to_low,16,4550
upstream,high_to_low,17,7137
upstream,high_to_low,18,1843
upstream,high_to_low,19,6497
upstream,high_to_low,20,3332
upstream,high_to_low,21,880
upstream,high_to_low,22,2433
upstream,high_to_low,23,4166
upstream,high_to_low,24,116
upstream,high_to_low,25,0
upstream,low_to_low,1,69829
upstream,low_to_low,2,46720
upstream,low_to_low,3,38334
upstream,low_to_low,4,24978
upstream,low_to_low,5,28498
upstream,low_to_low,6,33080
upstream,low_to_low,7,32061
upstream,low_to_low,8,26520
upstream,low_to_low,9,30601
upstream,low_to_low,10,27155
upstream,low_to_low,11,44305
upstream,low_to_low,12,35276
upstream,low_to_low,13,10963
upstream,low_to_low,14,20915
upstream,low_to_low,15,21765
upstream,low_to_low,16,36472
upstream,low_to_low,17,43852
upstream,low_to_low,18,11875
upstream,low_to_low,19,48943
upstream,low_to_low,20,23453
upstream,low_to_low,21,9539
upstream,low_to_low,22,17360
upstream,low_to_low,23,22385
upstream,low_to_low,24,1353
upstream,low_to_low,25,0
downstream,high_to_high,1,127960
downstream,high_to_high,2,93829
downstream,high_to_high,3,70013
downstream,high_to_high,4,49739
downstream,high_to_high,5,57798
downstream,high_to_high,6,71280
downstream,high_to_high,7,66039
downstream,high_to_high,8,45349
downstream,high_to_high,9,54349
downstream,high_to_high,10,52418
downstream,high_to_high,11,77348
downstream,high_to_high,12,66941
downstream,high_to_high,13,24084
downstream,high_to_high,14,57531
downstream,high_to_high,15,37424
downstream,high_to_high,16,54623
downstream,high_to_high,17,78428
downstream,high_to_high,18,19096
downstream,high_to_high,19,79672
downstream,high_to_high,20,37408
downstream,high_to_high,21,16598
downstream,high_to_high,22,33884
downstream,high_to_high,23,43499
downstream,high_to_high,24,5265
downstream,high_to_high,25,0
downstream,low_to_high,1,43805
downstream,low_to_high,2,31567
downstream,low_to_high,3,24250
downstream,low_to_high,4,17561
downstream,low_to_high,5,20212
downstream,low_to_high,6,23832
downstream,low_to_high,7,22231
downstream,low_to_high,8,15262
downstream,low_to_high,9,18321
downstream,low_to_high,10,17827
downstream,low_to_high,11,26458
downstream,low_to_high,12,23325
downstream,low_to_high,13,8375
downstream,low_to_high,14,19676
downstream,low_to_high,15,12275
downstream,low_to_high,16,18170
downstream,low_to_high,17,26035
downstream,low_to_high,18,6582
downstream,low_to_high,19,26191
downstream,low_to_high,20,12255
downstream,low_to_high,21,5646
downstream,low_to_high,22,11576
downstream,low_to_high,23,14290
downstream,low_to_high,24,1757
downstream,low_to_high,25,0
downstream,high_to_low,1,22726
downstream,high_to_low,2,13776
downstream,high_to_low,3,12589
downstream,high_to_low,4,8653
downstream,high_to_low,5,11445
downstream,high_to_low,6,11008
downstream,high_to_low,7,9397
downstream,high_to_low,8,6837
downstream,high_to_low,9,9530
downstream,high_to_low,10,8446
downstream,high_to_low,11,12240
downstream,high_to_low,12,11633
downstream,high_to_low,13,3329
downstream,high_to_low,14,7231
downstream,high_to_low,15,7036
downstream,high_to_low,16,7105
downstream,high_to_low,17,11663
downstream,high_to_low,18,3132
downstream,high_to_low,19,9420
downstream,high_to_low,20,5209
downstream,high_to_low,21,1037
downstream,high_to_low,22,3704
downstream,high_to_low,23,11321
downstream,high_to_low,24,626
downstream,high_to_low,25,0
downstream,low_to_low,1,60539
downstream,low_to_low,2,41979
downstream,low_to_low,3,33639
downstream,low_to_low,4,22559
downstream,low_to_low,5,27835
downstream,low_to_low,6,29027
downstream,low_to_low,7,29604
downstream,low_to_low,8,21299
downstream,low_to_low,9,25278
downstream,low_to_low,10,23222
downstream,low_to_low,11,32639
downstream,low_to_low,12,32115
downstream,low_to_low,13,10721
downstream,low_to_low,14,24037
downstream,low_to_low,15,18471
downstream,low_to_low,16,24806
downstream,low_to_low,17,37054
downstream,low_to_low,18,9075
downstream,low_to_low,19,39037
downstream,low_to_low,20,15981
downstream,low_to_low,21,5726
downstream,low_to_low,22,14590
downstream,low_to_low,23,22327
downstream,low_to_low,24,1360
downstream,low_to_low,25,0
ncrna,high_to_high,1,68251
ncrna,high_to_high,2,54111
ncrna,high_to_high,3,36434
ncrna,high_to_high,4,24387
ncrna,high_to_high,5,32532
ncrna,high_to_high,6,37514
ncrna,high_to_high,7,36030
ncrna,high_to_high,8,22643
ncrna,high_to_high,9,27946
ncrna,high_to_high,10,32397
ncrna,high_to_high,11,43512
ncrna,high_to_high,12,41484
ncrna,high_to_high,13,15046
ncrna,high_to_high,14,25744
ncrna,high_to_high,15,34052
ncrna,high_to_high,16,40621
ncrna,high_to_high,17,48598
ncrna,high_to_high,18,13965
ncrna,high_to_high,19,32244
ncrna,high_to_high,20,13439
ncrna,high_to_high,21,5334
ncrna,high_to_high,22,16708
ncrna,high_to_high,23,16961
ncrna,high_to_high,24,3993
ncrna,high_to_high,25,0
ncrna,low_to_high,1,26501
ncrna,low_to_high,2,21500
ncrna,low_to_high,3,14398
ncrna,low_to_high,4,9655
ncrna,low_to_high,5,13550
ncrna,low_to_high,6,14242
ncrna,low_to_high,7,14297
ncrna,low_to_high,8,9245
ncrna,low_to_high,9,11279
ncrna,low_to_high,10,12767
ncrna,low_to_high,11,16532
ncrna,low_to_high,12,16085
ncrna,low_to_high,13,6112
ncrna,low_to_high,14,10167
ncrna,low_to_high,15,13164
ncrna,low_to_high,16,15418
ncrna,low_to_high,17,18414
ncrna,low_to_high,18,5381
ncrna,low_to_high,19,11351
ncrna,low_to_high,20,5376
ncrna,low_to_high,21,2072
ncrna,low_to_high,22,6578
ncrna,low_to_high,23,6976
ncrna,low_to_high,24,1694
ncrna,low_to_high,25,0
ncrna,high_to_low,1,28639
ncrna,high_to_low,2,25246
ncrna,high_to_low,3,15659
ncrna,high_to_low,4,10354
ncrna,high_to_low,5,15474
ncrna,high_to_low,6,16000
ncrna,high_to_low,7,17971
ncrna,high_to_low,8,10521
ncrna,high_to_low,9,14003
ncrna,high_to_low,10,16311
ncrna,high_to_low,11,16641
ncrna,high_to_low,12,15899
ncrna,high_to_low,13,6977
ncrna,high_to_low,14,11101
ncrna,high_to_low,15,14548
ncrna,high_to_low,16,16601
ncrna,high_to_low,17,19151
ncrna,high_to_low,18,6051
ncrna,high_to_low,19,8960
ncrna,high_to_low,20,7342
ncrna,high_to_low,21,2655
ncrna,high_to_low,22,7196
ncrna,high_to_low,23,8972
ncrna,high_to_low,24,2042
ncrna,high_to_low,25,0
ncrna,low_to_low,1,160411
ncrna,low_to_low,2,130112
ncrna,low_to_low,3,76258
ncrna,low_to_low,4,53127
ncrna,low_to_low,5,84723
ncrna,low_to_low,6,82604
ncrna,low_to_low,7,105384
ncrna,low_to_low,8,50042
ncrna,low_to_low,9,81332
ncrna,low_to_low,10,77478
ncrna,low_to_low,11,79398
ncrna,low_to_low,12,79034
ncrna,low_to_low,13,37647
ncrna,low_to_low,14,54148
ncrna,low_to_low,15,92457
ncrna,low_to_low,16,106461
ncrna,low_to_low,17,94557
ncrna,low_to_low,18,27771
ncrna,low_to_low,19,44697
ncrna,low_to_low,20,34184
ncrna,low_to_low,21,15185
ncrna,low_to_low,22,40419
ncrna,low_to_low,23,42879
ncrna,low_to_low,24,7513
ncrna,low_to_low,25,0
enhancer,high_to_high,1,103734
enhancer,high_to_high,2,107999
enhancer,high_to_high,3,81810
enhancer,high_to_high,4,54898
enhancer,high_to_high,5,79900
enhancer,high_to_high,6,67188
enhancer,high_to_high,7,56757
enhancer,high_to_high,8,57707
enhancer,high_to_high,9,56583
enhancer,high_to_high,10,58349
enhancer,high_to_high,11,61255
enhancer,high_to_high,12,49518
enhancer,high_to_high,13,31762
enhancer,high_to_high,14,41495
enhancer,high_to_high,15,33752
enhancer,high_to_high,16,32106
enhancer,high_to_high,17,40799
enhancer,high_to_high,18,26958
enhancer,high_to_high,19,13285
enhancer,high_to_high,20,25898
enhancer,high_to_high,21,8990
enhancer,high_to_high,22,12850
enhancer,high_to_high,23,46236
enhancer,high_to_high,24,496
enhancer,high_to_high,25,0
enhancer,low_to_high,1,37484
enhancer,low_to_high,2,38392
enhancer,low_to_high,3,29410
enhancer,low_to_high,4,19719
enhancer,low_to_high,5,28910
enhancer,low_to_high,6,23565
enhancer,low_to_high,7,20505
enhancer,low_to_high,8,20906
enhancer,low_to_high,9,20247
enhancer,low_to_high,10,21059
enhancer,low_to_high,11,21540
enhancer,low_to_high,12,17897
enhancer,low_to_high,13,11071
enhancer,low_to_high,14,15533
enhancer,low_to_high,15,12051
enhancer,low_to_high,16,11471
enhancer,low_to_high,17,14068
enhancer,low_to_high,18,9737
enhancer,low_to_high,19,4822
enhancer,low_to_high,20,9162
enhancer,low_to_high,21,3101
enhancer,low_to_high,22,4455
enhancer,low_to_high,23,16245
enhancer,low_to_high,24,150
enhancer,low_to_high,25,0
enhancer,high_to_low,1,42786
enhancer,high_to_low,2,49219
enhancer,high_to_low,3,37157
enhancer,high_to_low,4,23245
enhancer,high_to_low,5,38072
enhancer,high_to_low,6,27815
enhancer,high_to_low,7,27448
enhancer,high_to_low,8,25408
enhancer,high_to_low,9,28209
enhancer,high_to_low,10,27169
enhancer,high_to_low,11,25988
enhancer,high_to_low,12,21275
enhancer,high_to_low,13,13283
enhancer,high_to_low,14,18929
enhancer,high_to_low,15,16022
enhancer,high_to_low,16,15006
enhancer,high_to_low,17,15478
enhancer,high_to_low,18,12824
enhancer,high_to_low,19,4968
enhancer,high_to_low,20,10883
enhancer,high_to_low,21,3306
enhancer,high_to_low,22,4952
enhancer,high_to_low,23,18740
enhancer,high_to_low,24,31
enhancer,high_to_low,25,0
enhancer,low_to_low,1,77591
enhancer,low_to_low,2,82398
enhancer,low_to_low,3,59314
enhancer,low_to_low,4,36531
enhancer,low_to_low,5,62495
enhancer,low_to_low,6,44729
enhancer,low_to_low,7,43498
enhancer,low_to_low,8,40754
enhancer,low_to_low,9,47691
enhancer,low_to_low,10,43562
enhancer,low_to_low,11,43155
enhancer,low_to_low,12,35289
enhancer,low_to_low,13,21213
enhancer,low_to_low,14,31579
enhancer,low_to_low,15,28188
enhancer,low_to_low,16,26477
enhancer,low_to_low,17,29003
enhancer,low_to_low,18,21640
enhancer,low_to_low,19,12759
enhancer,low_to_low,20,17642
enhancer,low_to_low,21,5284
enhancer,low_to_low,22,9002
enhancer,low_to_low,23,28606
enhancer,low_to_low,24,87
enhancer,low_to_low,25,0
